game_time,game_mode,lobby_type,game_phase
2113,All Draft,Ranked,late_game
226,All Draft,Ranked,early_game
1969,All Draft,Public matchmaking,late_game
26,All Draft,Public matchmaking,early_game
524,All Draft,Ranked,early_game
71,All Draft,Ranked,early_game
1619,All Draft,Public matchmaking,late_game
150,Turbo Mode,Public matchmaking,early_game
642,All Draft,Ranked,early_game
1314,All Draft,Ranked,mid_game
1743,All Draft,Ranked,late_game
163,All Draft,Ranked,early_game
549,All Draft,Ranked,early_game
626,All Draft,Public matchmaking,early_game
1865,All Draft,Ranked,late_game
342,All Draft,Ranked,early_game
883,All Draft,Ranked,mid_game
182,Turbo Mode,Public matchmaking,early_game
3056,All Draft,Ranked,late_game
71,Turbo Mode,Public matchmaking,early_game
1262,All Draft,Ranked,mid_game
593,All Draft,Ranked,early_game
95,All Draft,Ranked,early_game
1997,All Draft,Ranked,late_game
493,All Draft,Public matchmaking,early_game
395,All Draft,Ranked,early_game
1946,All Draft,Ranked,late_game
1052,All Draft,Ranked,mid_game
293,Random Draft,Ranked,early_game
1360,All Draft,Ranked,mid_game
89,All Draft,Ranked,early_game
191,All Draft,Ranked,early_game
3983,All Draft,Public matchmaking,late_game
1007,All Draft,Ranked,mid_game
400,Turbo Mode,Public matchmaking,early_game
1202,Single Draft,Public matchmaking,mid_game
1074,All Draft,Ranked,mid_game
1072,All Draft,Public matchmaking,mid_game
1687,All Draft,Ranked,late_game
510,All Draft,Ranked,early_game
1006,All Draft,Ranked,mid_game
576,All Draft,Public matchmaking,early_game
728,All Draft,Ranked,early_game
1293,Single Draft,Public matchmaking,mid_game
736,All Draft,Ranked,early_game
1893,All Draft,Ranked,late_game
923,All Draft,Ranked,mid_game
637,All Draft,Ranked,early_game
1681,All Draft,Ranked,late_game
1240,All Draft,Ranked,mid_game
660,All Draft,Ranked,early_game
564,All Draft,Ranked,early_game
2697,All Draft,Ranked,late_game
2118,All Draft,Ranked,late_game
19,All Draft,Ranked,early_game
1376,All Draft,Public matchmaking,mid_game
358,Single Draft,Public matchmaking,early_game
2075,All Draft,Ranked,late_game
586,Turbo Mode,Public matchmaking,early_game
3361,All Draft,Ranked,late_game
671,All Draft,Ranked,early_game
597,All Draft,Ranked,early_game
2142,All Draft,Ranked,late_game
2311,All Draft,Ranked,late_game
591,All Draft,Ranked,early_game
2524,All Draft,Ranked,late_game
122,All Draft,Public matchmaking,early_game
1207,All Draft,Ranked,mid_game
255,All Draft,Ranked,early_game
896,All Draft,Ranked,mid_game
557,All Draft,Ranked,early_game
383,All Draft,Public matchmaking,early_game
721,Random Draft,Ranked,early_game
725,Turbo Mode,Public matchmaking,early_game
1107,All Draft,Public matchmaking,mid_game
206,Random Draft,Public matchmaking,early_game
1095,All Draft,Ranked,mid_game
1388,All Draft,Ranked,mid_game
1171,All Draft,Ranked,mid_game
1860,All Draft,Ranked,late_game
1875,All Draft,Public matchmaking,late_game
351,All Draft,Ranked,early_game
432,All Draft,Ranked,early_game
1147,All Draft,Ranked,mid_game
1599,All Draft,Public matchmaking,late_game
3694,All Draft,Ranked,late_game
2414,Random Draft,Ranked,late_game
1753,All Draft,Ranked,late_game
1840,Single Draft,Public matchmaking,late_game
3056,All Draft,Ranked,late_game
2295,All Draft,Ranked,late_game
21,All Draft,Ranked,early_game
1434,Random Draft,Ranked,mid_game
1520,All Draft,Public matchmaking,mid_game
1632,All Draft,Public matchmaking,late_game
715,All Draft,Ranked,early_game
2249,All Draft,Ranked,late_game
2485,All Draft,Ranked,late_game
1153,All Draft,Ranked,mid_game
227,Turbo Mode,Public matchmaking,early_game
865,All Draft,Ranked,mid_game
55,Turbo Mode,Public matchmaking,early_game
1618,Single Draft,Public matchmaking,late_game
1368,Turbo Mode,Public matchmaking,mid_game
2153,All Draft,Public matchmaking,late_game
105,All Draft,Ranked,early_game
1594,All Draft,Ranked,late_game
1014,All Draft,Ranked,mid_game
1176,All Draft,Public matchmaking,mid_game
692,All Draft,Ranked,early_game
1474,All Draft,Ranked,mid_game
694,All Draft,Ranked,early_game
2231,All Draft,Ranked,late_game
234,Single Draft,Public matchmaking,early_game
2576,All Draft,Ranked,late_game
1817,All Draft,Ranked,late_game
2210,All Draft,Ranked,late_game
680,All Draft,Ranked,early_game
3014,All Draft,Ranked,late_game
1057,All Draft,Ranked,mid_game
691,All Draft,Ranked,early_game
979,All Draft,Ranked,mid_game
817,Turbo Mode,Public matchmaking,mid_game
1040,All Draft,Ranked,mid_game
1645,All Draft,Ranked,late_game
1010,All Draft,Public matchmaking,mid_game
1498,Single Draft,Public matchmaking,mid_game
861,All Draft,Ranked,mid_game
1083,All Draft,Public matchmaking,mid_game
528,All Draft,Ranked,early_game
745,All Draft,Ranked,early_game
50,All Draft,Ranked,early_game
541,Turbo Mode,Public matchmaking,early_game
418,Turbo Mode,Public matchmaking,early_game
1648,All Draft,Ranked,late_game
731,All Draft,Ranked,early_game
677,All Draft,Public matchmaking,early_game
60,All Draft,Ranked,early_game
225,All Draft,Ranked,early_game
450,All Draft,Ranked,early_game
1488,All Draft,Public matchmaking,mid_game
244,All Draft,Ranked,early_game
408,All Draft,Ranked,early_game
1335,All Draft,Ranked,mid_game
552,All Draft,Ranked,early_game
187,All Draft,Ranked,early_game
579,All Draft,Ranked,early_game
558,All Draft,Ranked,early_game
132,All Draft,Ranked,early_game
2308,All Draft,Public matchmaking,late_game
397,All Draft,Ranked,early_game
999,Random Draft,Ranked,mid_game
2198,All Draft,Ranked,late_game
1425,Single Draft,Public matchmaking,mid_game
196,All Draft,Ranked,early_game
52,All Draft,Ranked,early_game
1793,All Draft,Ranked,late_game
3336,All Draft,Ranked,late_game
1432,Turbo Mode,Public matchmaking,mid_game
498,Turbo Mode,Public matchmaking,early_game
11,All Draft,Ranked,early_game
820,All Draft,Ranked,mid_game
2213,All Draft,Ranked,late_game
368,All Draft,Ranked,early_game
1766,All Draft,Public matchmaking,late_game
1837,Single Draft,Public matchmaking,late_game
1746,All Draft,Public matchmaking,late_game
1361,All Draft,Ranked,mid_game
165,Turbo Mode,Public matchmaking,early_game
46,All Draft,Ranked,early_game
554,All Draft,Ranked,early_game
981,Turbo Mode,Public matchmaking,mid_game
944,All Draft,Ranked,mid_game
696,All Draft,Ranked,early_game
1643,All Draft,Ranked,late_game
1525,All Draft,Ranked,mid_game
1915,All Draft,Ranked,late_game
645,All Draft,Ranked,early_game
1899,Single Draft,Public matchmaking,late_game
202,All Draft,Public matchmaking,early_game
475,All Draft,Public matchmaking,early_game
2707,All Draft,Ranked,late_game
1697,All Draft,Public matchmaking,late_game
1170,All Draft,Ranked,mid_game
342,All Draft,Ranked,early_game
1875,All Draft,Ranked,late_game
2772,All Draft,Ranked,late_game
149,Turbo Mode,Public matchmaking,early_game
1038,All Draft,Ranked,mid_game
941,All Draft,Public matchmaking,mid_game
226,Single Draft,Public matchmaking,early_game
439,All Draft,Public matchmaking,early_game
1721,Random Draft,Ranked,late_game
1195,All Draft,Ranked,mid_game
3662,All Draft,Ranked,late_game
582,All Draft,Ranked,early_game
21,All Draft,Ranked,early_game
2302,All Draft,Ranked,late_game
72,All Draft,Ranked,early_game
1404,All Draft,Public matchmaking,mid_game
1117,All Draft,Public matchmaking,mid_game
1752,All Draft,Ranked,late_game
832,All Draft,Public matchmaking,mid_game
279,All Draft,Ranked,early_game
1714,All Draft,Public matchmaking,late_game
1179,All Draft,Ranked,mid_game
1203,All Draft,Ranked,mid_game
1171,Turbo Mode,Public matchmaking,mid_game
711,All Draft,Ranked,early_game
2030,All Draft,Ranked,late_game
1920,All Draft,Ranked,late_game
813,All Draft,Ranked,mid_game
983,All Draft,Ranked,mid_game
285,Turbo Mode,Public matchmaking,early_game
521,All Draft,Ranked,early_game
1283,Single Draft,Public matchmaking,mid_game
313,All Draft,Public matchmaking,early_game
484,Turbo Mode,Public matchmaking,early_game
484,Turbo Mode,Public matchmaking,early_game
1202,All Draft,Ranked,mid_game
858,All Draft,Public matchmaking,mid_game
47,All Draft,Ranked,early_game
365,All Draft,Ranked,early_game
782,All Draft,Ranked,mid_game
224,All Draft,Public matchmaking,early_game
83,All Draft,Public matchmaking,early_game
3553,All Draft,Ranked,late_game
4272,Single Draft,Public matchmaking,late_game
1353,All Draft,Ranked,mid_game
604,All Draft,Ranked,early_game
1506,All Draft,Ranked,mid_game
1119,All Draft,Public matchmaking,mid_game
402,All Draft,Public matchmaking,early_game
482,All Draft,Public matchmaking,early_game
829,All Draft,Ranked,mid_game
1868,All Draft,Ranked,late_game
2237,Single Draft,Public matchmaking,late_game
2064,Random Draft,Ranked,late_game
610,Random Draft,Ranked,early_game
150,All Draft,Ranked,early_game
751,All Draft,Public matchmaking,early_game
1236,All Draft,Ranked,mid_game
926,Random Draft,Public matchmaking,mid_game
343,All Draft,Ranked,early_game
2454,All Draft,Ranked,late_game
2085,All Draft,Ranked,late_game
406,All Draft,Public matchmaking,early_game
1041,All Draft,Ranked,mid_game
841,All Draft,Public matchmaking,mid_game
619,All Draft,Public matchmaking,early_game
304,All Draft,Public matchmaking,early_game
436,All Draft,Ranked,early_game
750,All Draft,Ranked,early_game
752,All Draft,Ranked,early_game
459,All Draft,Ranked,early_game
663,All Draft,Ranked,early_game
2543,All Draft,Public matchmaking,late_game
996,All Draft,Ranked,mid_game
946,All Draft,Ranked,mid_game
386,All Draft,Ranked,early_game
166,All Draft,Public matchmaking,early_game
1114,All Draft,Ranked,mid_game
265,All Draft,Ranked,early_game
911,All Draft,Ranked,mid_game
1174,All Draft,Ranked,mid_game
796,All Draft,Ranked,mid_game
1280,Turbo Mode,Public matchmaking,mid_game
2791,Random Draft,Ranked,late_game
1183,All Draft,Ranked,mid_game
305,All Draft,Ranked,early_game
211,Turbo Mode,Public matchmaking,early_game
340,Random Draft,Public matchmaking,early_game
130,All Draft,Ranked,early_game
2400,All Draft,Ranked,late_game
565,All Draft,Ranked,early_game
1007,Single Draft,Public matchmaking,mid_game
1852,All Draft,Ranked,late_game
86,All Draft,Public matchmaking,early_game
715,All Draft,Ranked,early_game
2966,Single Draft,Public matchmaking,late_game
1015,All Draft,Ranked,mid_game
314,Turbo Mode,Public matchmaking,early_game
1526,All Draft,Ranked,mid_game
1025,Turbo Mode,Public matchmaking,mid_game
293,All Draft,Ranked,early_game
773,Turbo Mode,Public matchmaking,early_game
780,All Draft,Ranked,mid_game
2287,All Draft,Ranked,late_game
1436,All Draft,Ranked,mid_game
3162,All Draft,Public matchmaking,late_game
2294,All Draft,Ranked,late_game
1241,All Draft,Ranked,mid_game
1741,All Draft,Ranked,late_game
1315,All Draft,Ranked,mid_game
2776,All Draft,Ranked,late_game
1766,All Draft,Ranked,late_game
1681,All Draft,Ranked,late_game
1220,All Draft,Ranked,mid_game
823,All Draft,Ranked,mid_game
117,All Draft,Ranked,early_game
164,All Draft,Ranked,early_game
2681,Single Draft,Public matchmaking,late_game
211,Single Draft,Public matchmaking,early_game
567,All Draft,Ranked,early_game
1417,Random Draft,Ranked,mid_game
674,Random Draft,Public matchmaking,early_game
2535,Random Draft,Ranked,late_game
1940,All Draft,Ranked,late_game
1146,All Draft,Public matchmaking,mid_game
111,All Draft,Public matchmaking,early_game
676,Turbo Mode,Public matchmaking,early_game
123,All Draft,Public matchmaking,early_game
1996,All Draft,Ranked,late_game
2363,All Draft,Ranked,late_game
1408,All Draft,Ranked,mid_game
1918,All Draft,Ranked,late_game
1141,All Draft,Ranked,mid_game
2164,All Draft,Ranked,late_game
1217,Single Draft,Public matchmaking,mid_game
1393,All Draft,Public matchmaking,mid_game
771,Single Draft,Public matchmaking,early_game
2647,All Draft,Ranked,late_game
520,All Draft,Ranked,early_game
1455,Single Draft,Public matchmaking,mid_game
1148,All Draft,Ranked,mid_game
234,All Draft,Ranked,early_game
1652,All Draft,Ranked,late_game
1907,All Draft,Ranked,late_game
17,All Draft,Ranked,early_game
326,Turbo Mode,Public matchmaking,early_game
3348,All Draft,Ranked,late_game
728,Single Draft,Public matchmaking,early_game
1385,All Draft,Ranked,mid_game
1544,All Draft,Public matchmaking,mid_game
1172,All Draft,Public matchmaking,mid_game
1110,All Draft,Public matchmaking,mid_game
501,Single Draft,Public matchmaking,early_game
167,All Draft,Ranked,early_game
377,Turbo Mode,Public matchmaking,early_game
231,All Draft,Ranked,early_game
122,All Draft,Public matchmaking,early_game
1017,Single Draft,Public matchmaking,mid_game
1341,All Draft,Ranked,mid_game
2373,Random Draft,Ranked,late_game
716,Single Draft,Public matchmaking,early_game
491,Turbo Mode,Public matchmaking,early_game
492,All Draft,Public matchmaking,early_game
128,All Draft,Ranked,early_game
2942,All Draft,Ranked,late_game
1218,All Draft,Ranked,mid_game
2299,All Draft,Ranked,late_game
456,All Draft,Ranked,early_game
748,All Draft,Ranked,early_game
766,All Draft,Ranked,early_game
1362,All Draft,Ranked,mid_game
917,Random Draft,Public matchmaking,mid_game
294,Single Draft,Public matchmaking,early_game
1190,All Draft,Ranked,mid_game
1571,All Draft,Public matchmaking,late_game
17,All Draft,Ranked,early_game
3104,All Draft,Public matchmaking,late_game
1426,All Draft,Public matchmaking,mid_game
573,All Draft,Ranked,early_game
2273,All Draft,Ranked,late_game
663,All Draft,Ranked,early_game
1650,All Draft,Ranked,late_game
1142,Turbo Mode,Public matchmaking,mid_game
1401,All Draft,Ranked,mid_game
1310,All Draft,Ranked,mid_game
1326,All Draft,Ranked,mid_game
496,Turbo Mode,Public matchmaking,early_game
1116,All Draft,Ranked,mid_game
794,Turbo Mode,Public matchmaking,mid_game
177,All Draft,Ranked,early_game
1256,All Draft,Public matchmaking,mid_game
1993,Single Draft,Public matchmaking,late_game
750,All Draft,Ranked,early_game
279,All Draft,Ranked,early_game
80,All Draft,Ranked,early_game
1808,All Draft,Public matchmaking,late_game
327,All Draft,Ranked,early_game
1463,All Draft,Ranked,mid_game
1009,All Draft,Ranked,mid_game
794,All Draft,Ranked,mid_game
916,All Draft,Public matchmaking,mid_game
77,All Draft,Ranked,early_game
2159,All Draft,Ranked,late_game
881,All Draft,Public matchmaking,mid_game
83,All Draft,Ranked,early_game
1866,Single Draft,Public matchmaking,late_game
1581,All Draft,Ranked,late_game
518,All Draft,Public matchmaking,early_game
2585,All Draft,Ranked,late_game
869,All Draft,Public matchmaking,mid_game
1563,All Draft,Ranked,late_game
2167,All Draft,Ranked,late_game
819,All Draft,Ranked,mid_game
120,All Draft,Ranked,early_game
32,All Draft,Ranked,early_game
1214,All Draft,Ranked,mid_game
1731,All Draft,Ranked,late_game
1502,All Draft,Ranked,mid_game
218,All Draft,Ranked,early_game
1975,All Draft,Ranked,late_game
728,All Draft,Ranked,early_game
2853,All Draft,Public matchmaking,late_game
1415,All Draft,Ranked,mid_game
1572,All Draft,Public matchmaking,late_game
501,Random Draft,Ranked,early_game
271,All Draft,Ranked,early_game
2240,All Draft,Ranked,late_game
2093,All Draft,Ranked,late_game
812,All Draft,Ranked,mid_game
2563,All Draft,Ranked,late_game
2206,All Draft,Ranked,late_game
279,Turbo Mode,Public matchmaking,early_game
915,Random Draft,Ranked,mid_game
1851,Single Draft,Public matchmaking,late_game
700,All Draft,Ranked,early_game
390,Turbo Mode,Public matchmaking,early_game
628,All Draft,Ranked,early_game
2001,All Draft,Public matchmaking,late_game
341,All Draft,Ranked,early_game
270,All Draft,Ranked,early_game
851,Turbo Mode,Public matchmaking,mid_game
2476,All Draft,Ranked,late_game
1197,All Draft,Ranked,mid_game
1175,All Draft,Ranked,mid_game
1604,All Draft,Ranked,late_game
81,Random Draft,Ranked,early_game
1814,All Draft,Ranked,late_game
1867,All Draft,Ranked,late_game
1438,All Draft,Public matchmaking,mid_game
361,All Draft,Ranked,early_game
1423,All Draft,Ranked,mid_game
203,All Draft,Public matchmaking,early_game
492,All Draft,Ranked,early_game
2208,All Draft,Ranked,late_game
179,All Draft,Ranked,early_game
814,All Draft,Ranked,mid_game
80,All Draft,Ranked,early_game
1701,All Draft,Ranked,late_game
605,All Draft,Public matchmaking,early_game
2308,All Draft,Ranked,late_game
1000,All Draft,Ranked,mid_game
941,All Draft,Public matchmaking,mid_game
2283,All Draft,Ranked,late_game
18,All Draft,Ranked,early_game
2779,All Draft,Public matchmaking,late_game
278,All Draft,Ranked,early_game
568,Turbo Mode,Public matchmaking,early_game
924,All Draft,Public matchmaking,mid_game
653,Turbo Mode,Public matchmaking,early_game
1795,All Draft,Ranked,late_game
1056,Random Draft,Ranked,mid_game
1261,All Draft,Ranked,mid_game
189,Single Draft,Public matchmaking,early_game
428,All Draft,Ranked,early_game
1043,All Draft,Public matchmaking,mid_game
97,All Draft,Public matchmaking,early_game
271,All Draft,Ranked,early_game
201,All Draft,Ranked,early_game
2226,All Draft,Ranked,late_game
1759,Single Draft,Public matchmaking,late_game
125,All Draft,Ranked,early_game
1737,All Draft,Ranked,late_game
515,All Draft,Ranked,early_game
1202,All Draft,Ranked,mid_game
960,All Draft,Ranked,mid_game
1242,All Draft,Ranked,mid_game
1346,All Draft,Ranked,mid_game
182,Single Draft,Public matchmaking,early_game
104,All Draft,Public matchmaking,early_game
309,All Draft,Ranked,early_game
73,All Draft,Ranked,early_game
401,All Draft,Ranked,early_game
655,All Draft,Public matchmaking,early_game
29,All Draft,Ranked,early_game
451,All Draft,Ranked,early_game
593,All Draft,Ranked,early_game
1962,All Draft,Ranked,late_game
1342,All Draft,Ranked,mid_game
723,All Draft,Ranked,early_game
508,All Draft,Ranked,early_game
246,All Draft,Ranked,early_game
1559,All Draft,Ranked,mid_game
404,All Draft,Ranked,early_game
1304,Random Draft,Ranked,mid_game
1018,All Draft,Ranked,mid_game
1838,All Draft,Ranked,late_game
323,All Draft,Public matchmaking,early_game
1829,All Draft,Ranked,late_game
1293,All Draft,Ranked,mid_game
2505,All Draft,Public matchmaking,late_game
502,All Draft,Ranked,early_game
1543,All Draft,Ranked,mid_game
601,All Draft,Ranked,early_game
1954,All Draft,Ranked,late_game
736,All Draft,Ranked,early_game
1064,All Draft,Public matchmaking,mid_game
845,All Draft,Ranked,mid_game
533,All Draft,Ranked,early_game
266,All Draft,Ranked,early_game
2498,All Draft,Ranked,late_game
1450,All Draft,Ranked,mid_game
248,Turbo Mode,Public matchmaking,early_game
44,All Draft,Ranked,early_game
579,All Draft,Ranked,early_game
990,Single Draft,Public matchmaking,mid_game
1239,Random Draft,Ranked,mid_game
3212,Single Draft,Public matchmaking,late_game
1134,Single Draft,Public matchmaking,mid_game
1009,All Draft,Ranked,mid_game
166,All Draft,Ranked,early_game
128,All Draft,Ranked,early_game
800,All Draft,Ranked,mid_game
269,All Draft,Ranked,early_game
131,Turbo Mode,Public matchmaking,early_game
691,All Draft,Public matchmaking,early_game
1564,All Draft,Ranked,late_game
1289,All Draft,Ranked,mid_game
2229,All Draft,Ranked,late_game
1265,All Draft,Ranked,mid_game
856,Turbo Mode,Public matchmaking,mid_game
318,Turbo Mode,Public matchmaking,early_game
523,All Draft,Ranked,early_game
800,All Draft,Ranked,mid_game
753,All Draft,Ranked,early_game
3592,Single Draft,Public matchmaking,late_game
1034,All Draft,Ranked,mid_game
386,All Draft,Ranked,early_game
1644,All Draft,Ranked,late_game
1132,All Draft,Ranked,mid_game
1561,All Draft,Ranked,late_game
858,All Draft,Ranked,mid_game
333,All Draft,Ranked,early_game
1357,All Draft,Ranked,mid_game
1296,All Draft,Ranked,mid_game
1567,All Draft,Ranked,late_game
41,Turbo Mode,Public matchmaking,early_game
430,All Draft,Public matchmaking,early_game
950,All Draft,Ranked,mid_game
551,All Draft,Ranked,early_game
1862,All Draft,Ranked,late_game
591,All Draft,Ranked,early_game
927,All Draft,Ranked,mid_game
1897,All Draft,Ranked,late_game
1547,All Draft,Ranked,mid_game
1007,All Draft,Ranked,mid_game
1911,All Draft,Ranked,late_game
2006,All Draft,Ranked,late_game
1243,All Draft,Ranked,mid_game
194,Random Draft,Public matchmaking,early_game
262,All Draft,Ranked,early_game
476,All Draft,Ranked,early_game
939,All Draft,Public matchmaking,mid_game
1787,All Draft,Ranked,late_game
781,All Draft,Ranked,mid_game
1893,All Draft,Ranked,late_game
483,All Draft,Ranked,early_game
2523,All Draft,Ranked,late_game
2057,All Draft,Ranked,late_game
494,All Draft,Ranked,early_game
1475,All Draft,Ranked,mid_game
1953,All Draft,Public matchmaking,late_game
825,All Draft,Ranked,mid_game
986,All Draft,Ranked,mid_game
149,All Draft,Ranked,early_game
1866,All Draft,Ranked,late_game
1337,Turbo Mode,Public matchmaking,mid_game
775,All Draft,Ranked,early_game
132,All Draft,Ranked,early_game
171,All Draft,Ranked,early_game
57,All Draft,Ranked,early_game
888,Turbo Mode,Public matchmaking,mid_game
567,All Draft,Ranked,early_game
439,Turbo Mode,Public matchmaking,early_game
190,Turbo Mode,Public matchmaking,early_game
782,All Draft,Ranked,mid_game
1658,All Draft,Ranked,late_game
45,All Draft,Ranked,early_game
2574,All Draft,Ranked,late_game
65,All Draft,Ranked,early_game
1557,All Draft,Ranked,mid_game
2464,All Draft,Ranked,late_game
2368,All Draft,Public matchmaking,late_game
1571,All Draft,Public matchmaking,late_game
725,All Draft,Ranked,early_game
488,All Draft,Ranked,early_game
3181,All Draft,Ranked,late_game
101,All Draft,Ranked,early_game
959,All Draft,Public matchmaking,mid_game
1317,Single Draft,Public matchmaking,mid_game
2436,Random Draft,Ranked,late_game
1157,All Draft,Ranked,mid_game
789,All Draft,Ranked,mid_game
503,All Draft,Ranked,early_game
75,All Draft,Ranked,early_game
3032,All Draft,Ranked,late_game
430,All Draft,Ranked,early_game
589,All Draft,Ranked,early_game
1460,All Draft,Ranked,mid_game
1735,All Draft,Ranked,late_game
517,All Draft,Ranked,early_game
1783,All Draft,Ranked,late_game
1033,Random Draft,Ranked,mid_game
736,Random Draft,Public matchmaking,early_game
1731,All Draft,Ranked,late_game
1559,All Draft,Ranked,mid_game
1671,All Draft,Public matchmaking,late_game
1107,All Draft,Ranked,mid_game
170,All Draft,Public matchmaking,early_game
1156,All Draft,Ranked,mid_game
146,All Draft,Ranked,early_game
1088,All Draft,Ranked,mid_game
872,All Draft,Ranked,mid_game
2915,All Draft,Ranked,late_game
1692,All Draft,Public matchmaking,late_game
1391,All Draft,Ranked,mid_game
1422,All Draft,Ranked,mid_game
944,All Draft,Ranked,mid_game
1173,All Draft,Ranked,mid_game
528,All Draft,Public matchmaking,early_game
117,All Draft,Ranked,early_game
752,All Draft,Ranked,early_game
1167,All Draft,Ranked,mid_game
294,Turbo Mode,Public matchmaking,early_game
2149,All Draft,Ranked,late_game
437,All Draft,Ranked,early_game
2148,All Draft,Ranked,late_game
1256,All Draft,Ranked,mid_game
2606,All Draft,Ranked,late_game
31,All Draft,Ranked,early_game
1510,All Draft,Ranked,mid_game
1958,All Draft,Public matchmaking,late_game
1632,All Draft,Ranked,late_game
1323,Single Draft,Public matchmaking,mid_game
472,All Draft,Ranked,early_game
1000,Turbo Mode,Public matchmaking,mid_game
1845,All Draft,Ranked,late_game
191,All Draft,Ranked,early_game
521,Turbo Mode,Public matchmaking,early_game
252,All Draft,Ranked,early_game
2437,All Draft,Ranked,late_game
97,All Draft,Ranked,early_game
2185,All Draft,Ranked,late_game
221,All Draft,Public matchmaking,early_game
1022,Single Draft,Public matchmaking,mid_game
1979,All Draft,Ranked,late_game
1616,All Draft,Ranked,late_game
2388,All Draft,Public matchmaking,late_game
1251,All Draft,Public matchmaking,mid_game
730,All Draft,Public matchmaking,early_game
201,All Draft,Ranked,early_game
923,All Draft,Public matchmaking,mid_game
2926,All Draft,Ranked,late_game
2391,All Draft,Public matchmaking,late_game
2665,All Draft,Public matchmaking,late_game
1195,All Draft,Ranked,mid_game
426,All Draft,Ranked,early_game
610,All Draft,Ranked,early_game
1871,All Draft,Ranked,late_game
1005,All Draft,Ranked,mid_game
2024,All Draft,Ranked,late_game
361,All Draft,Ranked,early_game
229,All Draft,Ranked,early_game
726,Single Draft,Public matchmaking,early_game
815,All Draft,Ranked,mid_game
773,All Draft,Ranked,early_game
1117,All Draft,Public matchmaking,mid_game
1248,All Draft,Ranked,mid_game
1233,All Draft,Ranked,mid_game
746,All Draft,Ranked,early_game
259,All Draft,Ranked,early_game
604,All Draft,Ranked,early_game
966,Single Draft,Public matchmaking,mid_game
398,All Draft,Ranked,early_game
580,All Draft,Ranked,early_game
1061,All Draft,Ranked,mid_game
1482,All Draft,Ranked,mid_game
1460,All Draft,Ranked,mid_game
896,All Draft,Public matchmaking,mid_game
2641,All Draft,Ranked,late_game
2202,All Draft,Public matchmaking,late_game
566,Random Draft,Public matchmaking,early_game
716,All Draft,Ranked,early_game
718,Single Draft,Public matchmaking,early_game
3658,All Draft,Ranked,late_game
792,All Draft,Ranked,mid_game
1316,All Draft,Ranked,mid_game
1841,All Draft,Ranked,late_game
669,All Draft,Public matchmaking,early_game
293,Random Draft,Ranked,early_game
963,All Draft,Ranked,mid_game
939,All Draft,Ranked,mid_game
652,All Draft,Ranked,early_game
805,All Draft,Ranked,mid_game
781,All Draft,Ranked,mid_game
872,All Draft,Ranked,mid_game
162,All Draft,Public matchmaking,early_game
269,All Draft,Ranked,early_game
211,All Draft,Ranked,early_game
859,All Draft,Ranked,mid_game
2714,All Draft,Ranked,late_game
1602,All Draft,Ranked,late_game
2009,All Draft,Ranked,late_game
109,All Draft,Ranked,early_game
1716,All Draft,Public matchmaking,late_game
135,All Draft,Ranked,early_game
3105,All Draft,Public matchmaking,late_game
1538,All Draft,Ranked,mid_game
403,All Draft,Ranked,early_game
871,All Draft,Ranked,mid_game
1334,Random Draft,Ranked,mid_game
1428,Random Draft,Public matchmaking,mid_game
1767,All Draft,Ranked,late_game
561,All Draft,Ranked,early_game
97,All Draft,Ranked,early_game
1246,All Draft,Ranked,mid_game
410,Random Draft,Ranked,early_game
977,All Draft,Ranked,mid_game
2024,Single Draft,Public matchmaking,late_game
1291,All Draft,Ranked,mid_game
1605,All Draft,Ranked,late_game
614,All Draft,Ranked,early_game
1652,All Draft,Ranked,late_game
479,All Draft,Public matchmaking,early_game
114,All Draft,Ranked,early_game
2724,All Draft,Public matchmaking,late_game
734,All Draft,Ranked,early_game
1807,Random Draft,Ranked,late_game
2586,All Draft,Ranked,late_game
1205,All Draft,Public matchmaking,mid_game
399,All Draft,Public matchmaking,early_game
183,All Draft,Ranked,early_game
459,All Draft,Ranked,early_game
888,All Draft,Ranked,mid_game
1942,Single Draft,Public matchmaking,late_game
1078,Turbo Mode,Public matchmaking,mid_game
868,All Draft,Ranked,mid_game
1363,All Draft,Ranked,mid_game
1128,Turbo Mode,Public matchmaking,mid_game
2013,All Draft,Ranked,late_game
1596,All Draft,Ranked,late_game
302,Random Draft,Ranked,early_game
1977,All Draft,Ranked,late_game
294,All Draft,Ranked,early_game
319,All Draft,Ranked,early_game
1215,All Draft,Ranked,mid_game
1069,All Draft,Ranked,mid_game
1477,All Draft,Public matchmaking,mid_game
54,All Draft,Ranked,early_game
934,All Draft,Ranked,mid_game
2684,All Draft,Public matchmaking,late_game
675,All Draft,Ranked,early_game
1098,All Draft,Ranked,mid_game
2517,All Draft,Ranked,late_game
591,Single Draft,Public matchmaking,early_game
301,All Draft,Ranked,early_game
1124,All Draft,Ranked,mid_game
1872,All Draft,Ranked,late_game
2667,All Draft,Ranked,late_game
1424,All Draft,Ranked,mid_game
1280,All Draft,Public matchmaking,mid_game
1509,All Draft,Ranked,mid_game
2354,All Draft,Ranked,late_game
432,All Draft,Public matchmaking,early_game
873,Single Draft,Public matchmaking,mid_game
2289,All Draft,Ranked,late_game
2226,All Draft,Ranked,late_game
2165,All Draft,Public matchmaking,late_game
1925,All Draft,Public matchmaking,late_game
1918,All Draft,Ranked,late_game
1792,All Draft,Ranked,late_game
1651,All Draft,Public matchmaking,late_game
1616,All Draft,Ranked,late_game
